rank	name	box	date
813	Unfaithful	$52.756	May 10, 2002
816	Blade: Trinity	$52.411	December 10, 2004
817	Yours, Mine & Ours	$52.399	November 23, 2005
818	Kicking and Screaming	$52.375	May 13, 2005
819	The Royal Tenenbaums	$52.364	December 14, 2001
820	The Color of Money	$52.294	October 17, 1986
821	Stand By Me	$52.287	August 8, 1986
824	Awakenings	$52.096	December 20, 1990
825	South Park: Bigger, Longer & Uncut	$52.038	June 30, 1999
826	King Arthur	$51.877	July 7, 2004
827	Finding Forrester	$51.805	January 12, 2001
828	Exit Wounds	$51.759	March 14, 2001
829	Finding Neverland	$51.753	November 12, 2004
830	Identity	$51.700	April 25, 2003
832	Underworld	$51.600	September 19, 2003
833	Amadeus	$51.564	September 19, 1984
835	Like Mike	$51.432	July 3, 2002
836	A Cinderella Story	$51.431	July 16, 2004
837	Enemy at the Gates	$51.402	March 16, 2001
838	Dragonheart	$51.367	May 31, 1996
840	Dennis the Menace	$51.271	June 24, 1993
841	Broadcast News	$51.249	December 16, 1987
842	Andrew Lloyd Webbers The Phantom of the Opera	$51.225	December 25, 2004
846	Hide and Seek	$51.097	January 28, 2005
847	Up Close & Personal	$51.089	March 1, 1996
850	The Hitchhikers Guide to the Galaxy	$51.019	April 29, 2005
851	Bull Durham	$50.889	June 15, 1988
854	A Bridge Too Far	$50.800	June 15, 1977
855	Resident Evil: Apocalypse	$50.757	September 10, 2004
857	The Net	$50.728	July 28, 1995
858	Bonnie and Clyde	$50.700	August 13, 1967
859	The Hurricane	$50.699	January 14, 2000
860	The Crow	$50.693	May 11, 1994
861	The Deep	$50.682	June 17, 1977
862	Mighty Joe Young	$50.632	December 25, 1998
863	Fletch	$50.613	May 31, 1985
867	Diary of a Mad Black Woman	$50.382	February 25, 2005
868	T-Rex: Back to the Cretaceous	$50.344	October 23, 1998
869	K-PAX	$50.338	October 26, 2001
871	Serendipity	$50.294	October 5, 2001
873	The Tuxedo	$50.280	September 27, 2002
874	Angels in the Outfield	$50.237	July 15, 1994
875	Breakdown	$50.159	May 2, 1997
878	Evita	$50.047	January 10, 1997
879	Stigmata	$50.046	September 10, 1999
880	Absolute Power	$50.045	February 14, 1997
881	Home On The Range	$50.026	April 2, 2004
885	A Walk in the Clouds	$50.008	August 11, 1995
887	The Deer Hunter	$50.000	December 8, 1978
893	Runaway Jury	$49.441	October 17, 2003
895	European Vacation	$49.400	July 26, 1985
896	A Nightmare On Elm Street 4: The Dream Master	$49.370	August 19, 1988
897	Volcano	$49.323	April 25, 1997
898	Racing Stripes	$49.186	January 14, 2005
899	Bugsy	$49.114	December 20, 1991
900	Cobra	$49.042	May 23, 1986
901	Addams Family Values	$48.860	November 19, 1993
902	Men of Honor	$48.815	November 10, 2000
905	Miss Congeniality 2: Armed and Fabulous	$48.472	March 24, 2005
906	Return to Neverland	$48.423	February 15, 2002
907	Peter Pan	$48.418	December 25, 2003
908	Just Like Heaven	$48.291	September 16, 2005
909	The Game	$48.266	September 12, 1997
912	G.I. Jane	$48.169	August 22, 1997
913	Fat Albert	$48.114	December 25, 2004
914	The Preachers Wife	$48.103	December 13, 1996
916	Memoirs of a Geisha	$48.095	December 9, 2005
921	The Blue Lagoon	$47.924	July 5, 1980
922	The Jungle Book 2	$47.888	February 14, 2003
923	Big Fat Liar	$47.811	February 8, 2002
924	The Skeleton Key	$47.806	August 12, 2005
925	Alien: Resurrection	$47.795	November 26, 1997
927	Secret Window	$47.781	March 12, 2004
928	Agent Cody Banks	$47.700	March 14, 2003
930	The Rundown	$47.593	September 26, 2003
931	An American Tail	$47.483	November 21, 1986
933	Kingdom Of Heaven	$47.396	May 6, 2005
934	The Legend of Zorro	$47.308	October 28, 2005
935	Airport 1975	$47.285	October 18, 1974
936	Kate & Leopold	$47.121	December 21, 2001
938	Halloween	$47.000	October 25, 1978
941	Final Destination 2	$46.897	January 31, 2003
942	Goodfellas	$46.836	October 19, 1990
945	Dude, Wheres My Car?	$46.729	December 15, 2000
947	Firefox	$46.700	June 18, 1982
948	Practical Magic	$46.683	October 16, 1998
949	The Distinguished Gentleman	$46.666	December 4, 1992
950	Dog Day Afternoon	$46.666	September 21, 1975
951	Colors	$46.616	April 15, 1988
952	The Brady Bunch Movie	$46.576	February 17, 1995
953	Phone Booth	$46.563	April 4, 2003
956	Boogeyman	$46.363	February 4, 2005
960	The Enforcer	$46.200	December 22, 1976
961	One Fine Day	$46.170	December 20, 1996
962	Deliverance	$46.122	July 30, 1972
964	Walking Tall	$45.977	April 2, 2004
966	The Rainmaker	$45.917	November 21, 1997
967	The Breakfast Club	$45.900	February 15, 1985
971	Black Rain	$45.645	September 22, 1989
973	The Tigger Movie	$45.542	February 11, 2000
974	O Brother, Where Art Thou?	$45.513	January 12, 2001
976	In Good Company	$45.489	December 29, 2004
978	Scarface	$45.377	December 9, 1983
980	Bean	$45.334	November 7, 1997
981	The Dirty Dozen	$45.300	June 15, 1967
982	Domestic Disturbance	$45.246	November 2, 2001
983	Zoolander	$45.163	September 28, 2001
984	28 Days Later	$45.064	June 27, 2003
985	Frequency	$44.984	April 28, 2000
987	Cop Land	$44.907	August 15, 1997
989	A Nightmare On Elm Street 3: Dream Warriors	$44.840	February 27, 1987
990	A Nightmare On Elm Street 3: Dream Warriors	$44.793	February 27, 1987
993	The Replacements	$44.737	August 11, 2000
997	Meet Joe Black	$44.650	November 13, 1998
998	Lost In Translation	$44.566	September 12, 2003
999	The Negotiator	$44.548	July 31, 1998
1000	Napoleon Dynamite	$44.540	June 11, 2004
